date,region,deaths,cases
2020-03-14T17:00:00,Friuli Venezia Giulia,13,301
2020-03-14T17:00:00,Lazio,13,357
2020-03-14T17:00:00,Liguria,27,463
2020-03-14T17:00:00,Lombardia,966,11685
2020-03-14T17:00:00,Marche,36,899
2020-03-14T17:00:00,Molise,0,17
2020-03-14T17:00:00,P.A. Bolzano,3,173
2020-03-14T17:00:00,P.A. Trento,2,206
2020-03-14T17:00:00,Piemonte,59,873
2020-03-14T17:00:00,Puglia,8,166
2020-03-14T17:00:00,Sardegna,0,47
2020-03-14T17:00:00,Sicilia,2,156
2020-03-14T17:00:00,Toscana,6,630
2020-03-14T17:00:00,Umbria,1,107
2020-03-14T17:00:00,Valle d'Aosta,1,42
2020-03-14T17:00:00,Veneto,55,1937
2020-03-15T17:00:00,Abruzzo,3,137
2020-03-15T17:00:00,Basilicata,0,11
2020-03-15T17:00:00,Calabria,1,68
2020-03-15T17:00:00,Campania,9,333
2020-03-15T17:00:00,Emilia-Romagna,284,3093
2020-03-15T17:00:00,Friuli Venezia Giulia,14,347
2020-03-15T17:00:00,Lazio,16,436
2020-03-15T17:00:00,Liguria,33,559
2020-03-15T17:00:00,Lombardia,1218,13272
2020-03-15T17:00:00,Marche,46,1133
2020-03-15T17:00:00,Molise,0,17
2020-03-15T17:00:00,P.A. Bolzano,5,204
2020-03-15T17:00:00,P.A. Trento,6,378
2020-03-15T17:00:00,Piemonte,81,1111
2020-03-15T17:00:00,Puglia,16,230
2020-03-15T17:00:00,Sardegna,2,77
2020-03-15T17:00:00,Sicilia,2,188
2020-03-15T17:00:00,Toscana,8,781
2020-03-15T17:00:00,Umbria,1,143
2020-03-15T17:00:00,Valle d'Aosta,1,57
2020-03-15T17:00:00,Veneto,63,2172
2020-03-16T17:00:00,Abruzzo,4,176
2020-03-16T17:00:00,Basilicata,0,12
2020-03-16T17:00:00,Calabria,1,89
2020-03-16T17:00:00,Campania,9,400
2020-03-16T17:00:00,Emilia-Romagna,346,3522
2020-03-16T17:00:00,Friuli Venezia Giulia,22,386
2020-03-16T17:00:00,Lazio,19,523
2020-03-16T17:00:00,Liguria,50,667
2020-03-16T17:00:00,Lombardia,1420,14649
2020-03-16T17:00:00,Marche,57,1242
2020-03-16T17:00:00,Molise,1,21
2020-03-16T17:00:00,P.A. Bolzano,6,241
2020-03-16T17:00:00,P.A. Trento,6,378
2020-03-16T17:00:00,Piemonte,111,1516
2020-03-16T17:00:00,Puglia,16,230
2020-03-16T17:00:00,Sardegna,2,107
2020-03-16T17:00:00,Sicilia,2,213
2020-03-16T17:00:00,Toscana,14,866
2020-03-16T17:00:00,Umbria,1,164
2020-03-16T17:00:00,Valle d'Aosta,2,105
2020-03-16T17:00:00,Veneto,69,2473
2020-03-17T17:00:00,Abruzzo,6,229
2020-03-17T17:00:00,Basilicata,0,20
2020-03-17T17:00:00,Calabria,1,114
2020-03-17T17:00:00,Campania,9,460
2020-03-17T17:00:00,Emilia-Romagna,393,3931
2020-03-17T17:00:00,Friuli Venezia Giulia,30,394
2020-03-17T17:00:00,Lazio,23,607
2020-03-17T17:00:00,Liguria,60,778
2020-03-17T17:00:00,Lombardia,1640,16220
2020-03-17T17:00:00,Marche,69,1371
2020-03-17T17:00:00,Molise,1,25
2020-03-17T17:00:00,P.A. Bolzano,8,291
2020-03-17T17:00:00,P.A. Trento,7,385
2020-03-17T17:00:00,Piemonte,133,1897
2020-03-17T17:00:00,Puglia,18,340
2020-03-17T17:00:00,Sardegna,2,117
2020-03-17T17:00:00,Sicilia,3,237
2020-03-17T17:00:00,Toscana,17,1053
2020-03-17T17:00:00,Umbria,1,197
2020-03-17T17:00:00,Valle d'Aosta,2,136
2020-03-17T17:00:00,Veneto,80,2704
2020-03-18T17:00:00,Abruzzo,7,263
2020-03-18T17:00:00,Basilicata,0,27
2020-03-18T17:00:00,Calabria,1,129
2020-03-18T17:00:00,Campania,9,460
2020-03-18T17:00:00,Emilia-Romagna,458,4525
